CaseID;Time;Action Taken;Step Desc.;Person;Type of assignment;Signed As Other Agent;Same agents;Model;Workflow Org;Workflow Center;
GCB.2871;07/06/2017 11:53;ACCORD - AC;INITIATING AGENT (first);AGENT09;FA;AGENT49;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2871;07/06/2017 11:53;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2871;13/06/2017 11:27;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT01;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2871;13/06/2017 17:13;Accepted without verification L2 ex ante;VERIFYING AGENT (EX-ANTE);AGENT30;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2871;15/06/2017 14:20;ACCORD - AC;AUTHORISING OFFICER;AGENT01;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2871;15/06/2017 14:20;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2871;15/06/2017 14:20;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2919;13/07/2017 15:23;ACCORD - AC;INITIATING AGENT (first);AGENT44;FA;AGENT44;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;13/07/2017 15:23;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;13/07/2017 18:54;ACCORD - AC;VERIFYING AGENT (first);AGENT41;FA;AGENT42;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;13/07/2017 18:59;ACCORD - AC;AUTHORISING OFFICER;AGENT24;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;13/07/2017 19:00;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;13/07/2017 19:00;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;05/04/2018 09:53;ACCORD - AC;INITIATING AGENT (first);AGENT43;FA;AGENT43;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
