Cons_ID,Event,Start,End_theoretical
PC-10,Survey (National Authorities),2014-09-01,2014-09-01
PC-10,Conferences,2014-11-01,2014-11-01
PC-10,Expert/focus groups,2015-03-01,2015-03-01
PC-1,Roadmap,2015-05-07,2015-05-07
PC-18,Survey (other),2015-06-26,2015-06-26
PC-11,Roadmap,2015-07-23,2015-07-23
PC-20,Roadmap,2015-09-28,2015-09-28
PC-10,Workshops,2015-10-01,2015-10-01
PC-11,Expert/focus groups,2015-10-01,2015-10-01
PC-5,Roadmap,2015-11-30,2015-11-30
PC-12,Roadmap,2015-12-08,2015-12-08
PC-19,Roadmap,2015-12-08,2015-12-08
PC-10,OPC,2016-01-12,2016-01-12
PC-8,Roadmap,2016-01-18,2016-01-18
PC-9,Conferences,2016-02-01,2016-02-01
PC-11,OPC,2016-02-16,2016-02-16
PC-11,Survey (other),2016-02-15,2016-02-15
PC-1,OPC,2016-03-01,2016-03-01
PC-20,Interviews,2016-03-15,2016-03-15
PC-11,Interviews,2016-04-01,2016-04-01
PC-14,Expert/focus groups,2016-04-01,2016-04-01
PC-17,Expert/focus groups,2016-04-01,2016-04-01
PC-17,Conferences,2016-04-19,2016-04-19
PC-19,Interviews,2016-05-01,2016-05-01
PC-9,Survey (other),2016-05-01,2016-05-01
PC-14,Roadmap,2016-05-04,2016-05-04
PC-25,Roadmap,2016-05-04,2016-05-04
PC-12,OPC,2016-05-10,2016-05-10
PC-20,Survey (other),2016-05-20,2016-05-20
PC-23,Roadmap,2016-05-26,2016-05-26
PC-12,Interviews,2016-06-01,2016-06-01
PC-14,Conferences,2016-06-01,2016-06-01
PC-12,Survey (other),2016-07-01,2016-07-01
PC-12,Expert/focus groups,2016-07-01,2016-07-01
PC-13,Survey (other),2016-07-01,2016-07-01
PC-17,OPC,2016-07-08,2016-07-08
PC-18,OPC,2016-07-08,2016-07-08
PC-19,OPC,2016-07-13,2016-07-13
PC-13,OPC,2016-07-14,2016-07-14
PC-5,OPC,2016-07-18,2016-07-18
PC-5,Survey (other),2016-07-18,2016-07-18
PC-5,Interviews,2016-07-18,2016-07-18
PC-20,OPC,2016-07-29,2016-07-29
PC-13,Interviews,2016-08-01,2016-08-01
